,Date,Day,status_country,counts
186,08-11-2014,142,Cases_Liberia,670
187,08-09-2014,140,Cases_Liberia,599
188,08-06-2014,137,Cases_Liberia,554
189,08-04-2014,135,Cases_Liberia,516
190,08-01-2014,132,Cases_Liberia,468
191,7/30/2014,129,Cases_Liberia,391
192,7/27/2014,126,Cases_Liberia,329
193,7/23/2014,123,Cases_Liberia,249
194,7/20/2014,120,Cases_Liberia,224
195,7/17/2014,117,Cases_Liberia,196
196,7/14/2014,114,Cases_Liberia,174
197,07-12-2014,112,Cases_Liberia,172
198,07-08-2014,108,Cases_Liberia,142
199,07-06-2014,106,Cases_Liberia,131
200,07-02-2014,102,Cases_Liberia,115
201,6/30/2014,100,Cases_Liberia,107
202,6/22/2014,92,Cases_Liberia,51
203,6/20/2014,90,Cases_Liberia,0
204,6/19/2014,89,Cases_Liberia,41
205,6/18/2014,88,Cases_Liberia,0
206,6/17/2014,87,Cases_Liberia,0
207,6/16/2014,86,Cases_Liberia,33
208,06-10-2014,80,Cases_Liberia,13
209,06-05-2014,75,Cases_Liberia,13
210,06-03-2014,73,Cases_Liberia,13
211,06-01-2014,71,Cases_Liberia,13
212,5/28/2014,67,Cases_Liberia,13
213,5/27/2014,66,Cases_Liberia,12
214,5/23/2014,62,Cases_Liberia,12
215,05-12-2014,51,Cases_Liberia,12
216,05-10-2014,49,Cases_Liberia,12
217,05-07-2014,46,Cases_Liberia,13
218,05-05-2014,44,Cases_Liberia,13
219,05-03-2014,42,Cases_Liberia,13
220,05-01-2014,40,Cases_Liberia,13
221,4/26/2014,35,Cases_Liberia,0
222,4/24/2014,33,Cases_Liberia,35
223,4/23/2014,32,Cases_Liberia,0
224,4/22/2014,31,Cases_Liberia,0
225,4/21/2014,30,Cases_Liberia,34
226,4/20/2014,29,Cases_Liberia,0
227,4/17/2014,26,Cases_Liberia,27
228,4/16/2014,25,Cases_Liberia,27
229,4/15/2014,24,Cases_Liberia,0
230,4/14/2014,23,Cases_Liberia,0
231,04-11-2014,20,Cases_Liberia,26
232,04-09-2014,18,Cases_Liberia,25
233,04-07-2014,16,Cases_Liberia,21
234,04-04-2014,13,Cases_Liberia,18
235,04-01-2014,10,Cases_Liberia,8
236,3/31/2014,9,Cases_Liberia,8
237,3/29/2014,7,Cases_Liberia,7
238,3/28/2014,6,Cases_Liberia,3
239,3/27/2014,5,Cases_Liberia,8
240,3/26/2014,4,Cases_Liberia,0
241,3/25/2014,3,Cases_Liberia,0
242,3/24/2014,2,Cases_Liberia,0
243,3/22/2014,0,Cases_Liberia,0
244,01-05-2015,289,Cases_SierraLeone,10030
245,01-04-2015,288,Cases_SierraLeone,9780
246,01-03-2015,287,Cases_SierraLeone,9722
247,01-02-2015,286,Cases_SierraLeone,0
248,12/31/2014,284,Cases_SierraLeone,9633
249,12/28/2014,281,Cases_SierraLeone,9446
250,12/27/2014,280,Cases_SierraLeone,9409
251,12/24/2014,277,Cases_SierraLeone,9203
252,12/21/2014,273,Cases_SierraLeone,9004
253,12/20/2014,272,Cases_SierraLeone,8939
254,12/18/2014,271,Cases_SierraLeone,0
255,12/14/2014,267,Cases_SierraLeone,8356
256,12-09-2014,262,Cases_SierraLeone,0
257,12-07-2014,260,Cases_SierraLeone,7897
258,12-03-2014,256,Cases_SierraLeone,0
259,11/30/2014,253,Cases_SierraLeone,7312
260,11/28/2014,251,Cases_SierraLeone,0
261,11/23/2014,246,Cases_SierraLeone,6599
262,11/22/2014,245,Cases_SierraLeone,0
263,11/18/2014,241,Cases_SierraLeone,6190
264,11/16/2014,239,Cases_SierraLeone,6073
265,11/15/2014,238,Cases_SierraLeone,0
266,11-11-2014,234,Cases_SierraLeone,5586
267,11-10-2014,233,Cases_SierraLeone,0
268,11-09-2014,232,Cases_SierraLeone,5368
269,11-08-2014,231,Cases_SierraLeone,0
270,11-04-2014,227,Cases_SierraLeone,4862
271,11-03-2014,226,Cases_SierraLeone,0
272,11-02-2014,225,Cases_SierraLeone,4759
273,10/31/2014,222,Cases_SierraLeone,0
274,10/29/2014,220,Cases_SierraLeone,5338
275,10/27/2014,218,Cases_SierraLeone,5235
276,10/25/2014,216,Cases_SierraLeone,0
277,10/22/2014,214,Cases_SierraLeone,3896
278,10/21/2014,213,Cases_SierraLeone,0
279,10/19/2014,211,Cases_SierraLeone,3706
280,10/18/2014,210,Cases_SierraLeone,0
281,10/14/2014,206,Cases_SierraLeone,3410
282,10/13/2014,205,Cases_SierraLeone,0
283,10-12-2014,204,Cases_SierraLeone,3252
284,10-11-2014,203,Cases_SierraLeone,0
285,10-08-2014,200,Cases_SierraLeone,2950
286,10-07-2014,199,Cases_SierraLeone,0
287,10-05-2014,197,Cases_SierraLeone,2789
288,10-04-2014,196,Cases_SierraLeone,0
289,10-01-2014,193,Cases_SierraLeone,2437
290,9/28/2014,190,Cases_SierraLeone,2304
291,9/23/2014,185,Cases_SierraLeone,2021
292,9/21/2014,183,Cases_SierraLeone,1940
293,9/20/2014,182,Cases_SierraLeone,1813
294,9/19/2014,181,Cases_SierraLeone,0
295,9/17/2014,179,Cases_SierraLeone,0
296,9/14/2014,176,Cases_SierraLeone,1673
297,9/13/2014,175,Cases_SierraLeone,1620
298,09-10-2014,172,Cases_SierraLeone,1478
299,09-09-2014,171,Cases_SierraLeone,0
300,09-07-2014,169,Cases_SierraLeone,1424
301,09-05-2014,167,Cases_SierraLeone,1261
302,8/31/2014,162,Cases_SierraLeone,1216
303,8/26/2014,157,Cases_SierraLeone,1026
304,8/20/2014,151,Cases_SierraLeone,910
305,8/18/2014,149,Cases_SierraLeone,907
306,8/16/2014,147,Cases_SierraLeone,848
307,8/13/2014,144,Cases_SierraLeone,810
308,08-11-2014,142,Cases_SierraLeone,783
309,08-09-2014,140,Cases_SierraLeone,730
310,08-06-2014,137,Cases_SierraLeone,717
311,08-04-2014,135,Cases_SierraLeone,691
312,08-01-2014,132,Cases_SierraLeone,646
313,7/30/2014,129,Cases_SierraLeone,574
314,7/27/2014,126,Cases_SierraLeone,533
315,7/23/2014,123,Cases_SierraLeone,525
316,7/20/2014,120,Cases_SierraLeone,454
317,7/17/2014,117,Cases_SierraLeone,442
318,7/14/2014,114,Cases_SierraLeone,397
319,07-12-2014,112,Cases_SierraLeone,386
320,07-08-2014,108,Cases_SierraLeone,337
321,07-06-2014,106,Cases_SierraLeone,305
322,07-02-2014,102,Cases_SierraLeone,252
323,6/30/2014,100,Cases_SierraLeone,239
324,6/22/2014,92,Cases_SierraLeone,0
325,6/20/2014,90,Cases_SierraLeone,158
326,6/19/2014,89,Cases_SierraLeone,0
327,6/18/2014,88,Cases_SierraLeone,136
328,6/17/2014,87,Cases_SierraLeone,97
329,6/16/2014,86,Cases_SierraLeone,0
330,06-10-2014,80,Cases_SierraLeone,89
331,06-05-2014,75,Cases_SierraLeone,81
332,06-03-2014,73,Cases_SierraLeone,0
333,06-01-2014,71,Cases_SierraLeone,79
334,5/28/2014,67,Cases_SierraLeone,50
335,5/27/2014,66,Cases_SierraLeone,16
336,5/23/2014,62,Cases_SierraLeone,0
337,05-12-2014,51,Cases_SierraLeone,0
338,05-10-2014,49,Cases_SierraLeone,0
339,05-07-2014,46,Cases_SierraLeone,0
340,05-05-2014,44,Cases_SierraLeone,0
341,05-03-2014,42,Cases_SierraLeone,0
342,05-01-2014,40,Cases_SierraLeone,0
343,4/26/2014,35,Cases_SierraLeone,0
344,4/24/2014,33,Cases_SierraLeone,0
345,4/23/2014,32,Cases_SierraLeone,0
346,4/22/2014,31,Cases_SierraLeone,0
347,4/21/2014,30,Cases_SierraLeone,0
348,4/20/2014,29,Cases_SierraLeone,0
349,4/17/2014,26,Cases_SierraLeone,0
350,4/16/2014,25,Cases_SierraLeone,0
351,4/15/2014,24,Cases_SierraLeone,12
352,4/14/2014,23,Cases_SierraLeone,0
353,04-11-2014,20,Cases_SierraLeone,2
354,04-09-2014,18,Cases_SierraLeone,2
355,04-07-2014,16,Cases_SierraLeone,2
356,04-04-2014,13,Cases_SierraLeone,2
357,04-01-2014,10,Cases_SierraLeone,2
358,3/31/2014,9,Cases_SierraLeone,2
359,3/29/2014,7,Cases_SierraLeone,0
360,3/28/2014,6,Cases_SierraLeone,2
361,3/27/2014,5,Cases_SierraLeone,6
362,3/26/2014,4,Cases_SierraLeone,0
363,3/25/2014,3,Cases_SierraLeone,0
364,3/24/2014,2,Cases_SierraLeone,0
365,3/22/2014,0,Cases_SierraLeone,0
366,01-05-2015,289,Cases_Nigeria,0
367,01-04-2015,288,Cases_Nigeria,0
368,01-03-2015,287,Cases_Nigeria,0
369,01-02-2015,286,Cases_Nigeria,0
370,12/31/2014,284,Cases_Nigeria,0
371,12/28/2014,281,Cases_Nigeria,0
372,12/27/2014,280,Cases_Nigeria,0
373,12/24/2014,277,Cases_Nigeria,0
374,12/21/2014,273,Cases_Nigeria,0
375,12/20/2014,272,Cases_Nigeria,0
376,12/18/2014,271,Cases_Nigeria,0
377,12/14/2014,267,Cases_Nigeria,0
378,12-09-2014,262,Cases_Nigeria,0
379,12-07-2014,260,Cases_Nigeria,20
380,12-03-2014,256,Cases_Nigeria,0
381,11/30/2014,253,Cases_Nigeria,20
382,11/28/2014,251,Cases_Nigeria,0
383,11/23/2014,246,Cases_Nigeria,20
384,11/22/2014,245,Cases_Nigeria,0
385,11/18/2014,241,Cases_Nigeria,20
386,11/16/2014,239,Cases_Nigeria,20
387,11/15/2014,238,Cases_Nigeria,0
388,11-11-2014,234,Cases_Nigeria,20
389,11-10-2014,233,Cases_Nigeria,0
390,11-09-2014,232,Cases_Nigeria,20
391,11-08-2014,231,Cases_Nigeria,0
392,11-04-2014,227,Cases_Nigeria,20
393,11-03-2014,226,Cases_Nigeria,0
394,11-02-2014,225,Cases_Nigeria,20
395,10/31/2014,222,Cases_Nigeria,0
396,10/29/2014,220,Cases_Nigeria,20
397,10/27/2014,218,Cases_Nigeria,20
398,10/25/2014,216,Cases_Nigeria,0
399,10/22/2014,214,Cases_Nigeria,0
400,10/21/2014,213,Cases_Nigeria,0
401,10/19/2014,211,Cases_Nigeria,20
402,10/18/2014,210,Cases_Nigeria,0
403,10/14/2014,206,Cases_Nigeria,20
404,10/13/2014,205,Cases_Nigeria,0
405,10-12-2014,204,Cases_Nigeria,20
406,10-11-2014,203,Cases_Nigeria,0
407,10-08-2014,200,Cases_Nigeria,20
408,10-07-2014,199,Cases_Nigeria,0
409,10-05-2014,197,Cases_Nigeria,20
410,10-04-2014,196,Cases_Nigeria,0
411,10-01-2014,193,Cases_Nigeria,20
412,9/28/2014,190,Cases_Nigeria,20
413,9/23/2014,185,Cases_Nigeria,20
414,9/21/2014,183,Cases_Nigeria,20
415,9/20/2014,182,Cases_Nigeria,0
416,9/19/2014,181,Cases_Nigeria,0
417,9/17/2014,179,Cases_Nigeria,0
418,9/14/2014,176,Cases_Nigeria,0
419,9/13/2014,175,Cases_Nigeria,21
420,09-10-2014,172,Cases_Nigeria,21
421,09-09-2014,171,Cases_Nigeria,0
422,09-07-2014,169,Cases_Nigeria,21
423,09-05-2014,167,Cases_Nigeria,22
424,8/31/2014,162,Cases_Nigeria,21
425,8/26/2014,157,Cases_Nigeria,17
426,8/20/2014,151,Cases_Nigeria,16
427,8/18/2014,149,Cases_Nigeria,15
428,8/16/2014,147,Cases_Nigeria,15
429,8/13/2014,144,Cases_Nigeria,12
430,08-11-2014,142,Cases_Nigeria,12
431,08-09-2014,140,Cases_Nigeria,13
432,08-06-2014,137,Cases_Nigeria,13
433,08-04-2014,135,Cases_Nigeria,9
434,08-01-2014,132,Cases_Nigeria,4
435,7/30/2014,129,Cases_Nigeria,3
436,7/27/2014,126,Cases_Nigeria,1
437,7/23/2014,123,Cases_Nigeria,0
438,7/20/2014,120,Cases_Nigeria,0
439,7/17/2014,117,Cases_Nigeria,0
440,7/14/2014,114,Cases_Nigeria,0
441,07-12-2014,112,Cases_Nigeria,0
442,07-08-2014,108,Cases_Nigeria,0
443,07-06-2014,106,Cases_Nigeria,0
444,07-02-2014,102,Cases_Nigeria,0
445,6/30/2014,100,Cases_Nigeria,0
446,6/22/2014,92,Cases_Nigeria,0
447,6/20/2014,90,Cases_Nigeria,0
448,6/19/2014,89,Cases_Nigeria,0
449,6/18/2014,88,Cases_Nigeria,0
450,6/17/2014,87,Cases_Nigeria,0
451,6/16/2014,86,Cases_Nigeria,0
452,06-10-2014,80,Cases_Nigeria,0
453,06-05-2014,75,Cases_Nigeria,0
454,06-03-2014,73,Cases_Nigeria,0
455,06-01-2014,71,Cases_Nigeria,0
456,5/28/2014,67,Cases_Nigeria,0
457,5/27/2014,66,Cases_Nigeria,0
458,5/23/2014,62,Cases_Nigeria,0
459,05-12-2014,51,Cases_Nigeria,0
460,05-10-2014,49,Cases_Nigeria,0
461,05-07-2014,46,Cases_Nigeria,0
462,05-05-2014,44,Cases_Nigeria,0
463,05-03-2014,42,Cases_Nigeria,0
464,05-01-2014,40,Cases_Nigeria,0
465,4/26/2014,35,Cases_Nigeria,0
466,4/24/2014,33,Cases_Nigeria,0
467,4/23/2014,32,Cases_Nigeria,0
468,4/22/2014,31,Cases_Nigeria,0
469,4/21/2014,30,Cases_Nigeria,0
470,4/20/2014,29,Cases_Nigeria,0
471,4/17/2014,26,Cases_Nigeria,0
472,4/16/2014,25,Cases_Nigeria,0
473,4/15/2014,24,Cases_Nigeria,0
474,4/14/2014,23,Cases_Nigeria,0
475,04-11-2014,20,Cases_Nigeria,0
476,04-09-2014,18,Cases_Nigeria,0
477,04-07-2014,16,Cases_Nigeria,0
478,04-04-2014,13,Cases_Nigeria,0
479,04-01-2014,10,Cases_Nigeria,0
480,3/31/2014,9,Cases_Nigeria,0
481,3/29/2014,7,Cases_Nigeria,0
482,3/28/2014,6,Cases_Nigeria,0
483,3/27/2014,5,Cases_Nigeria,0
484,3/26/2014,4,Cases_Nigeria,0
485,3/25/2014,3,Cases_Nigeria,0
486,3/24/2014,2,Cases_Nigeria,0
487,3/22/2014,0,Cases_Nigeria,0
488,01-05-2015,289,Cases_Senegal,0
489,01-04-2015,288,Cases_Senegal,0
490,01-03-2015,287,Cases_Senegal,0
491,01-02-2015,286,Cases_Senegal,0
492,12/31/2014,284,Cases_Senegal,0
493,12/28/2014,281,Cases_Senegal,0
494,12/27/2014,280,Cases_Senegal,0
495,12/24/2014,277,Cases_Senegal,0
496,12/21/2014,273,Cases_Senegal,0
497,12/20/2014,272,Cases_Senegal,0
498,12/18/2014,271,Cases_Senegal,0
499,12/14/2014,267,Cases_Senegal,0
500,12-09-2014,262,Cases_Senegal,0
501,12-07-2014,260,Cases_Senegal,1
502,12-03-2014,256,Cases_Senegal,0
503,11/30/2014,253,Cases_Senegal,1
504,11/28/2014,251,Cases_Senegal,0
505,11/23/2014,246,Cases_Senegal,1
506,11/22/2014,245,Cases_Senegal,0
507,11/18/2014,241,Cases_Senegal,1
508,11/16/2014,239,Cases_Senegal,1
509,11/15/2014,238,Cases_Senegal,0
510,11-11-2014,234,Cases_Senegal,1
511,11-10-2014,233,Cases_Senegal,0
512,11-09-2014,232,Cases_Senegal,1
513,11-08-2014,231,Cases_Senegal,0
514,11-04-2014,227,Cases_Senegal,1
515,11-03-2014,226,Cases_Senegal,0
516,11-02-2014,225,Cases_Senegal,1
517,10/31/2014,222,Cases_Senegal,0
518,10/29/2014,220,Cases_Senegal,1
519,10/27/2014,218,Cases_Senegal,1
520,10/25/2014,216,Cases_Senegal,0
521,10/22/2014,214,Cases_Senegal,0
522,10/21/2014,213,Cases_Senegal,0
523,10/19/2014,211,Cases_Senegal,1
524,10/18/2014,210,Cases_Senegal,0
525,10/14/2014,206,Cases_Senegal,1
526,10/13/2014,205,Cases_Senegal,0
527,10-12-2014,204,Cases_Senegal,1
528,10-11-2014,203,Cases_Senegal,0
529,10-08-2014,200,Cases_Senegal,1
530,10-07-2014,199,Cases_Senegal,0
531,10-05-2014,197,Cases_Senegal,1
532,10-04-2014,196,Cases_Senegal,0
533,10-01-2014,193,Cases_Senegal,1
534,9/28/2014,190,Cases_Senegal,1
535,9/23/2014,185,Cases_Senegal,1
536,9/21/2014,183,Cases_Senegal,1
537,9/20/2014,182,Cases_Senegal,0
538,9/19/2014,181,Cases_Senegal,0
539,9/17/2014,179,Cases_Senegal,0
540,9/14/2014,176,Cases_Senegal,0
541,9/13/2014,175,Cases_Senegal,1
542,09-10-2014,172,Cases_Senegal,1
543,09-09-2014,171,Cases_Senegal,0
544,09-07-2014,169,Cases_Senegal,3
545,09-05-2014,167,Cases_Senegal,1
546,8/31/2014,162,Cases_Senegal,1
547,8/26/2014,157,Cases_Senegal,0
548,8/20/2014,151,Cases_Senegal,0
549,8/18/2014,149,Cases_Senegal,0
550,8/16/2014,147,Cases_Senegal,0
551,8/13/2014,144,Cases_Senegal,0
552,08-11-2014,142,Cases_Senegal,0
553,08-09-2014,140,Cases_Senegal,0
554,08-06-2014,137,Cases_Senegal,0
555,08-04-2014,135,Cases_Senegal,0
556,08-01-2014,132,Cases_Senegal,0
557,7/30/2014,129,Cases_Senegal,0
558,7/27/2014,126,Cases_Senegal,0
559,7/23/2014,123,Cases_Senegal,0
560,7/20/2014,120,Cases_Senegal,0
561,7/17/2014,117,Cases_Senegal,0
562,7/14/2014,114,Cases_Senegal,0
563,07-12-2014,112,Cases_Senegal,0
564,07-08-2014,108,Cases_Senegal,0
565,07-06-2014,106,Cases_Senegal,0
566,07-02-2014,102,Cases_Senegal,0
567,6/30/2014,100,Cases_Senegal,0
568,6/22/2014,92,Cases_Senegal,0
569,6/20/2014,90,Cases_Senegal,0
570,6/19/2014,89,Cases_Senegal,0
571,6/18/2014,88,Cases_Senegal,0
572,6/17/2014,87,Cases_Senegal,0
573,6/16/2014,86,Cases_Senegal,0
574,06-10-2014,80,Cases_Senegal,0
575,06-05-2014,75,Cases_Senegal,0
576,06-03-2014,73,Cases_Senegal,0
577,06-01-2014,71,Cases_Senegal,0
578,5/28/2014,67,Cases_Senegal,0
579,5/27/2014,66,Cases_Senegal,0
580,5/23/2014,62,Cases_Senegal,0
581,05-12-2014,51,Cases_Senegal,0
582,05-10-2014,49,Cases_Senegal,0
583,05-07-2014,46,Cases_Senegal,0
584,05-05-2014,44,Cases_Senegal,0
585,05-03-2014,42,Cases_Senegal,0
586,05-01-2014,40,Cases_Senegal,0
587,4/26/2014,35,Cases_Senegal,0
588,4/24/2014,33,Cases_Senegal,0
589,4/23/2014,32,Cases_Senegal,0
590,4/22/2014,31,Cases_Senegal,0
591,4/21/2014,30,Cases_Senegal,0
592,4/20/2014,29,Cases_Senegal,0
593,4/17/2014,26,Cases_Senegal,0
594,4/16/2014,25,Cases_Senegal,0
595,4/15/2014,24,Cases_Senegal,0
596,4/14/2014,23,Cases_Senegal,0
597,04-11-2014,20,Cases_Senegal,0
598,04-09-2014,18,Cases_Senegal,0
599,04-07-2014,16,Cases_Senegal,0
600,04-04-2014,13,Cases_Senegal,0
601,04-01-2014,10,Cases_Senegal,0
602,3/31/2014,9,Cases_Senegal,0
603,3/29/2014,7,Cases_Senegal,0
604,3/28/2014,6,Cases_Senegal,0
605,3/27/2014,5,Cases_Senegal,0
606,3/26/2014,4,Cases_Senegal,0
607,3/25/2014,3,Cases_Senegal,0
608,3/24/2014,2,Cases_Senegal,0
609,3/22/2014,0,Cases_Senegal,0
610,01-05-2015,289,Cases_UnitedStates,0
611,01-04-2015,288,Cases_UnitedStates,0
